subj,congruent,incongruent,neutral,stroop_effect
118340,0.6712402461934845,0.7432160033869623,0.6650107903427669,0.07197575719347771
120554,0.6126503647193248,0.6798642334841302,0.612754693605701,0.0672138687648054
142272,0.6235387361787031,0.6508031610804197,0.6242859580826875,0.027264424901716544
142610,0.8188013455191648,0.9964689733137296,0.8607984278102888,0.1776676277945648
146393,0.695119558499658,0.7796530901386349,0.7148457694492083,0.08453353163897692
149318,0.5042154341992643,0.5338253780060567,0.5189741964203419,0.029609943806792383
174411,0.7155685739849789,0.897369107087079,0.7295638464502233,0.1818005331021001
180705,0.6641126226286753,0.7382854296141766,0.6911929059044177,0.07417280698550133
190732,0.5690298980215316,0.6400184656315,0.5755260415880964,0.07098856760996841
194849,0.6132029008438615,0.6588689367521099,0.6090659334870882,0.04566603590824836
197623,0.8383502780951632,0.9306551443478913,0.8774940136937297,0.09230486625272816
204561,0.6353583538533886,0.6973543227040725,0.6698692923583834,0.061995968850683925
217278,0.593309986649356,0.7627273573668159,0.6509285480888138,0.16941737071745988
245080,0.6428764433069841,0.7726642507057334,0.6562147066817761,0.1297878073987493
247620,0.5413763584668061,0.623020589200224,0.5538129803766736,0.08164423073341787
268879,0.6961227284602983,0.7939159278574052,0.6782507803214433,0.09779319939710684
274322,0.6763848367712268,0.7385834146321871,0.6892320176449691,0.06219857786096028
282407,0.6599258038732525,0.80192409524257,0.6365325011996666,0.14199829136931752
283382,0.7505089349283175,0.9560953997440055,0.780151685336296,0.20558646481568799
288246,0.5280732468489896,0.5977987251823438,0.5699215850553124,0.06972547833335418
300190,0.7600251983505752,0.9063730930328603,0.7505726494798617,0.14634789468228504
301375,0.678817304636699,0.8065798052486178,0.706517548724335,0.12776250061191885
305899,0.6440335359552957,0.6956828540748564,0.6327424582198333,0.05164931811956075
311153,0.5564636836422486,0.6580261798758253,0.5885681711225781,0.10156249623357672
316750,0.7720264227517296,0.8519693049828783,0.7882441863773121,0.07994288223114865
317560,0.7503981876375402,0.836778756203627,0.7175253570860876,0.08638056856608678
318327,0.7950700321123729,0.9825628157313707,0.8030510917343675,0.1874927836189978
342023,0.5748508033653281,0.6246012932615846,0.594850714252487,0.04975048989625652
342919,0.6110052231922031,0.6367905309951086,0.5995451329903163,0.025785307802905555
352773,0.6611523713988497,0.7381929304969469,0.6868534586938506,0.07704055909809715
354109,0.9300923655540692,1.1471743627894886,0.9894646087369948,0.21708199723541943
360027,0.6307733547583737,0.6360610808249739,0.6255348206841667,0.005287726066600218
367466,0.612949613170172,0.7351535236813874,0.6564621959434923,0.12220391051121537
372544,0.6471867933109842,0.7715690062067846,0.6722320505803545,0.12438221289580043
375537,0.6269424781218642,0.7389541740907252,0.631812737427311,0.11201169596886096
376613,0.594810434404335,0.6177189702265781,0.5943189925637068,0.02290853582224306
391652,0.6215003444443281,0.6980584027487474,0.6500189756130778,0.07655805830441931
430453,0.57821022712399,0.6041554300845775,0.5597451164543248,0.025945202960587554
443829,0.6346094370889375,0.7655505132699063,0.632757395508349,0.13094107618096884
462795,0.6728731463858052,0.7614666898794353,0.7103832852235515,0.08859354349363013
495135,0.7069943753790482,0.7649285139276719,0.7295266032771022,0.057934138548623726
497562,0.7744545245098795,0.9222899379708709,0.8108355345014845,0.14783541346099138
514721,0.7106901609901035,0.8331322875870575,0.7543078439799109,0.12244212659695397
536211,0.674729002435449,0.781880858315974,0.6662652241017605,0.107151855880525
590116,0.601255529484715,0.6405128267624166,0.6180188006239333,0.039257297277701664
604153,0.6359043639881088,0.7867168914488343,0.7199280470521543,0.1508125274607255
604995,0.7041536250538,0.7826598501858169,0.7378252837504583,0.07850622513201688
608204,0.7435047154557326,0.8439528183741535,0.7398569394927832,0.10044810291842088
613451,0.6308168489368462,0.8083044327577742,0.6385923455407938,0.177487583820928
623074,0.7036272140381089,0.890318119597164,0.6856356795089845,0.1866909055590551
639598,0.6019054812632658,0.6772532104919627,0.6271723942439921,0.07534772922869692
648597,0.8464072667554293,0.9978437903412,0.8640923501059405,0.15143652358577064
658554,0.776641738986258,0.8138613871978095,0.7525611745157842,0.03721964821155155
668918,0.7117703636239026,0.9155046675268119,0.742947308342712,0.20373430390290936
684397,0.7437029662826335,0.9673411137920634,0.8118699599273114,0.2236381475094299
713272,0.7395551050609267,0.9050554035838603,0.7352565746595392,0.16550029852293358
718774,0.5929271540355416,0.6971064162471198,0.6185094318628667,0.10417926221157814
725297,0.6427515874501754,0.7894147335432894,0.6722940382648775,0.14666314609311404
726851,0.8828217702936086,0.9932471342512514,0.8621169460374392,0.1104253639576428
733206,0.7393596174912656,0.8116680624603456,0.7516464540297673,0.07230844496908007
737218,0.9116892028368724,1.0727314586972472,0.9155059739462815,0.1610422558603748
753332,0.5946209143778963,0.6211672665151134,0.5787293740771554,0.026546352137217122
766339,0.644984968247534,0.7011277204949378,0.6495359686225487,0.05614275224740373
774293,0.6427068022599897,0.7351672811754706,0.6815386950164456,0.09246047891548093
799330,0.6272949805627461,0.6880718595117239,0.6545529182868454,0.060776878948977764
816471,0.7487575591978929,0.8777793737349465,0.7112888333942405,0.12902181453705364
819650,0.6388089598227669,0.7252688643472486,0.6283677910528587,0.08645990452448171
847738,0.7306985321261124,0.9619162901686145,0.7484152031500393,0.2312177580425021
862128,0.7962851699696794,0.8803049180696649,0.8039512303208105,0.08401974809998558
862659,0.6409529391267959,0.7708484280647407,0.6914916831918042,0.1298954889379449
868858,0.6837855055213665,0.8677136299024867,0.7140018151284974,0.18392812438112016
879281,0.6220373465975388,0.673915400752277,0.624511453333349,0.05187805415473812
901381,0.9369760214463015,1.0521034071317674,0.966282643351612,0.11512738568546588
901393,0.5684962802742798,0.629312960909067,0.5595412777719215,0.06081668063478718
933604,0.5923364688349794,0.724759422306178,0.6279910677635,0.1324229534711986
935666,0.7532818491421129,0.8554216762226686,0.7682821941721436,0.10213982708055569
936750,0.5869236374703776,0.7087967667598377,0.6308736525026021,0.12187312928946015
954987,0.5900570628375794,0.6667057439151111,0.6051803183503247,0.07664868107753164
959728,0.5552363160118912,0.6457284621333281,0.5898273922081563,0.09049214612143697
981502,0.7074524783599742,0.9043069337227198,0.7950453442594293,0.1968544553627456
990512,0.6493200600186354,0.8103547572540938,0.6902982174648918,0.16103469723545838
